dataset,k,metric,threshold,bow,classifier,acc
title,50,sil,0.1,bm25,xgc,0.6383333333333333
title,50,sil,0.1,bm25,nnc,0.7033333333333334
title,50,eucl,0.2,tfidf,rfc,0.4666666666666667
title,50,eucl,0.2,tfidf,xgc,0.5933333333333334
title,50,eucl,0.2,tfidf,nnc,0.6483333333333333
title,50,eucl,0.2,count,rfc,0.4683333333333333
title,50,eucl,0.2,count,xgc,0.6116666666666667
title,50,eucl,0.2,count,nnc,0.675
title,50,eucl,0.2,bm25,rfc,0.49833333333333335
title,50,eucl,0.2,bm25,xgc,0.61
title,50,eucl,0.2,bm25,nnc,0.69
title,50,sil,0.2,tfidf,rfc,0.475
title,50,sil,0.2,tfidf,xgc,0.6183333333333333
title,50,sil,0.2,tfidf,nnc,0.6933333333333334
title,50,sil,0.2,count,rfc,0.48333333333333334
title,50,sil,0.2,count,xgc,0.6433333333333333
title,50,sil,0.2,count,nnc,0.6566666666666666
title,50,sil,0.2,bm25,rfc,0.48833333333333334
title,50,sil,0.2,bm25,xgc,0.5816666666666667
title,50,sil,0.2,bm25,nnc,0.6633333333333333
title,50,eucl,0.3,tfidf,rfc,0.4483333333333333
title,50,eucl,0.3,tfidf,xgc,0.6066666666666667
title,50,eucl,0.3,tfidf,nnc,0.6533333333333333
title,50,eucl,0.3,count,rfc,0.48333333333333334
title,50,eucl,0.3,count,xgc,0.6083333333333333
title,50,eucl,0.3,count,nnc,0.67
title,50,eucl,0.3,bm25,rfc,0.49166666666666664
title,50,eucl,0.3,bm25,xgc,0.635
