dataset,k,metric,threshold,bow,classifier,acc
bitext,25,eucl,0.5,bm25,nnc,0.9094497329928024
bitext,25,sil,0.5,tfidf,rfc,0.7325284420710472
bitext,25,sil,0.5,tfidf,xgc,0.9832830276294404
bitext,25,sil,0.5,tfidf,nnc,0.9788716043649872
bitext,25,sil,0.5,count,rfc,0.7747852333410726
bitext,25,sil,0.5,count,xgc,0.9835152078012538
bitext,25,sil,0.5,count,nnc,0.9774785233341072
bitext,25,sil,0.5,bm25,rfc,0.7315997213837938
bitext,25,sil,0.5,bm25,xgc,0.9802646853958672
bitext,25,sil,0.5,bm25,nnc,0.9742280009287206
bitext,50,eucl,0.1,tfidf,rfc,0.7731599721383794
bitext,50,eucl,0.1,tfidf,xgc,0.9874622707220804
bitext,50,eucl,0.1,tfidf,nnc,0.988623171581147
bitext,50,eucl,0.1,count,rfc,0.8170420246110982
bitext,50,eucl,0.1,count,xgc,0.9895518922684002
bitext,50,eucl,0.1,count,nnc,0.985837009519387
bitext,50,eucl,0.1,bm25,rfc,0.765730206640353
bitext,50,eucl,0.1,bm25,xgc,0.988623171581147
bitext,50,eucl,0.1,bm25,nnc,0.9883909914093336
bitext,50,sil,0.1,tfidf,rfc,0.7726956117947528
bitext,50,sil,0.1,tfidf,xgc,0.9934989551892268
bitext,50,sil,0.1,tfidf,nnc,0.9928024146737868
bitext,50,sil,0.1,count,rfc,0.838170420246111
bitext,50,sil,0.1,count,xgc,0.9941954957046668
bitext,50,sil,0.1,count,nnc,0.9941954957046668
bitext,50,sil,0.1,bm25,rfc,0.786394241931739
bitext,50,sil,0.1,bm25,xgc,0.9923380543301602
bitext,50,sil,0.1,bm25,nnc,0.9958207569073602
bitext,50,eucl,0.2,tfidf,rfc,0.737404225679127
bitext,50,eucl,0.2,tfidf,xgc,0.9672625957743208
bitext,50,eucl,0.2,tfidf,nnc,0.9642442535407476
bitext,50,eucl,0.2,count,rfc,0.761550963547713
bitext,50,eucl,0.2,count,xgc,0.9663338750870676
bitext,50,eucl,0.2,count,nnc,0.963779893197121
bitext,50,eucl,0.2,bm25,rfc,0.738100766194567
bitext,50,eucl,0.2,bm25,xgc,0.9635477130253076
bitext,50,eucl,0.2,bm25,nnc,0.962386812166241
bitext,50,sil,0.2,tfidf,rfc,0.7564429997678198
bitext,50,sil,0.2,tfidf,xgc,0.9849082888321338
bitext,50,sil,0.2,tfidf,nnc,0.9869979103784536
bitext,50,sil,0.2,count,rfc,0.8172742047829116
bitext,50,sil,0.2,count,xgc,0.988623171581147
bitext,50,sil,0.2,count,nnc,0.9874622707220804
bitext,50,sil,0.2,bm25,rfc,0.7915022057116322
bitext,50,sil,0.2,bm25,xgc,0.985837009519387
bitext,50,sil,0.2,bm25,nnc,0.9853726491757604
bitext,50,eucl,0.3,tfidf,rfc,0.7181332714186208
bitext,50,eucl,0.3,tfidf,xgc,0.9417227768748548
bitext,50,eucl,0.3,tfidf,nnc,0.9433480380775482
bitext,50,eucl,0.3,count,rfc,0.7369398653355004
bitext,50,eucl,0.3,count,xgc,0.9472951009983748
bitext,50,eucl,0.3,count,nnc,0.9435802182493616
bitext,50,eucl,0.3,bm25,rfc,0.6951474344091014
bitext,50,eucl,0.3,bm25,xgc,0.9433480380775482
bitext,50,eucl,0.3,bm25,nnc,0.9324355700023218
bitext,50,sil,0.3,tfidf,rfc,0.7241699558857674
bitext,50,sil,0.3,tfidf,xgc,0.971674019038774
bitext,50,sil,0.3,tfidf,nnc,0.9688878569770142
bitext,50,sil,0.3,count,rfc,0.7791966566055258
bitext,50,sil,0.3,count,xgc,0.972370559554214
bitext,50,sil,0.3,count,nnc,0.9753889017877874
bitext,50,sil,0.3,bm25,rfc,0.7069886231715812
bitext,50,sil,0.3,bm25,xgc,0.9707452983515208
bitext,50,sil,0.3,bm25,nnc,0.965869514743441
bitext,50,eucl,0.4,tfidf,rfc,0.6336196888785698
bitext,50,eucl,0.4,tfidf,xgc,0.9171116786626422
bitext,50,eucl,0.4,tfidf,nnc,0.9082888321337358
bitext,50,eucl,0.4,count,rfc,0.6589273276062224
bitext,50,eucl,0.4,count,xgc,0.9243092639888554
bitext,50,eucl,0.4,count,nnc,0.9143255166008822
bitext,50,eucl,0.4,bm25,rfc,0.6213141397724634
bitext,50,eucl,0.4,bm25,xgc,0.9178082191780822
bitext,50,eucl,0.4,bm25,nnc,0.8945902019967494
bitext,50,sil,0.4,tfidf,rfc,0.7202228929649408
bitext,50,sil,0.4,tfidf,xgc,0.9663338750870676
bitext,50,sil,0.4,tfidf,nnc,0.9656373345716276
bitext,50,sil,0.4,count,rfc,0.7627118644067796
bitext,50,sil,0.4,count,xgc,0.9719061992105874
bitext,50,sil,0.4,count,nnc,0.9661016949152542
bitext,50,sil,0.4,bm25,rfc,0.7109356860924078
bitext,50,sil,0.4,bm25,xgc,0.9691200371488274
bitext,50,sil,0.4,bm25,nnc,0.965172974228001
bitext,50,eucl,0.5,tfidf,rfc,0.4330160204318551
bitext,50,eucl,0.5,tfidf,xgc,0.6995588576735546
bitext,50,eucl,0.5,tfidf,nnc,0.6928256326909682
bitext,50,eucl,0.5,count,rfc,0.4395170652426283
bitext,50,eucl,0.5,count,xgc,0.7069886231715812
bitext,50,eucl,0.5,count,nnc,0.7042024611098212
bitext,50,eucl,0.5,bm25,rfc,0.4441606686788948
bitext,50,eucl,0.5,bm25,xgc,0.6981657766426748
bitext,50,eucl,0.5,bm25,nnc,0.672858137915022
bitext,50,sil,0.5,tfidf,rfc,0.7116322266078476
bitext,50,sil,0.5,tfidf,xgc,0.9505456234037614
bitext,50,sil,0.5,tfidf,nnc,0.9484560018574414
bitext,50,sil,0.5,count,rfc,0.7634084049222196
bitext,50,sil,0.5,count,xgc,0.9554214070118412
bitext,50,sil,0.5,count,nnc,0.948223821685628
bitext,50,sil,0.5,bm25,rfc,0.712560947295101
bitext,50,sil,0.5,bm25,xgc,0.9528674251218946
bitext,50,sil,0.5,bm25,nnc,0.9484560018574414
